"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Open Access","Citations count","Google Scholar ID","PubMed ID","PMC ID","References","Grants","arXiv ID","Updated Date","Primary Category","Categories","Source","Relevance","Abstract","Results"
"A Partially Reduced Bias Class of Value-at-Risk Estimators","https://scispace.com/papers/a-partially-reduced-bias-class-of-value-at-risk-estimators-3aq44tyjpw","2015","","","M. Ivette Gomes
Frederico Caeiro
Fernanda Figueiredo
Dinis Pestana","","","Yes","","","","","","","","","","","SciSpace","- **Relevance Score:** 99/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Provides a new EVT‑based VaR estimator with bias‑reduced EVI, uses double‑bootstrap for tuning, applies to finance, offers limited comparisons and theory, lacks explicit simulation.","For any level q, 0 < q < 1, and on the basis of a sample (X1, . . . , Xn) of either independent, identically distributed or possibly weakly dependent and stationary random variables from an unknown model F with a heavy right-tail function, the value-at-risk at the level q, denoted by VaRq, the size of the loss that occurred with a small probability q, is estimated by a recent semi-parametric procedure based on a partially reduced-bias extreme value index (EVI) class of estimators, a generalization of the classical Hill EVI-estimator, related to the mean-of-order-p of an adequate set of statistics. Such an estimator depends on two tuning parameters p and k, with p ≥ 0 and 1 ≤ k < n the number of top order statistics involved in the semi-parametric estimation, and outperforms previous estimation procedures. The adequate choice of k and p can be done through the use of either a computer-intensive double-bootstrap method or through reliable heuristic procedures. An application in the field of finance is also provided.","The paper proposes a semi-parametric procedure for estimating Value-at-Risk (VaRq) using a partially reduced-bias extreme value index (EVI) class of estimators, which generalizes the classical Hill EVI-estimator. This new estimator depends on two tuning parameters, p and k, and is stated to outperform previous estimation procedures. The optimal choice of k and p can be achieved via a computer-intensive double-bootstrap method or reliable heuristic procedures. An application in the field of finance is also provided, indicating practical relevance."
"Inference on the tail process with application to financial time series
  modelling","http://arxiv.org/abs/1604.00954v2","2016","Preprint","","R. A. Davis
H. Drees
J. Segers
M. Warchoł","","http://arxiv.org/pdf/1604.00954v2","Yes","","","","","","","http://arxiv.org/abs/1604.00954v2","2018-01-29T11:02:46Z","stat.ME","stat.ME, 62G32, 62M10","arXiv","- **Relevance Score:** 96/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Uses EVT spectral tail process, applies stationary and multiplier block bootstrap, provides asymptotic theory and Monte‑Carlo study, focuses on financial shocks rather than explicit VaR/ES.","To draw inference on serial extremal dependence within heavy-tailed Markov chains, Drees, Segers and Warcho{\l} [Extremes (2015) 18, 369--402] proposed nonparametric estimators of the spectral tail process. The methodology can be extended to the more general setting of a stationary, regularly varying time series. The large-sample distribution of the estimators is derived via empirical process theory for cluster functionals. The finite-sample performance of these estimators is evaluated via Monte Carlo simulations. Moreover, two different bootstrap schemes are employed which yield confidence intervals for the pre-asymptotic spectral tail process: the stationary bootstrap and the multiplier block bootstrap. The estimators are applied to stock price data to study the persistence of positive and negative shocks.","The large-sample distribution of the proposed nonparametric estimators for the spectral tail process is derived using empirical process theory for cluster functionals. Finite-sample performance of these estimators is evaluated through Monte Carlo simulations. Two bootstrap schemes, stationary and multiplier block bootstrap, are employed to yield confidence intervals for the pre-asymptotic spectral tail process. The estimators are applied to stock price data to study the persistence of positive and negative shocks."
"Bootstrapping Extreme Value Statistics","https://scispace.com/papers/bootstrapping-extreme-value-statistics-3apuquzbdj","2016","","","T.M. Groen","","https://scispace.com/pdf/bootstrapping-extreme-value-statistics-3apuquzbdj.pdf","Yes","","","","","","","","","","","SciSpace","- **Relevance Score:** 96/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Uses EVT (Hill, PWM) and bootstraps block maxima/estimators; derives asymptotic variance for extreme quantiles. Estimates tail quantiles (not explicit VaR/ES). Provides limiting distribution proofs.","In this thesis we investigate the use of bootstrapping schemes to estimate the variance of estimators from extreme value theory. We consider estimators for the extreme value index, the central parameter in extreme value theory, and extreme quantiles for two fundamental ap- proaches in extreme value theory. We analyse the Hill estimator for the extreme value index and the Weissman estimator for extreme quantiles from the peaks over threshold approach and the probability weighted moment estimators for the extreme value index and extreme quantiles from the block maxima approach. We find the limiting distributions of a boot- strapped sample and bootstrapped block maxima and subsequently determine the asymptotic behaviour of the bootstrapped Hill estimator and the bootstrapped probability weighted mo- ment estimators. For the latter estimators, we provide an heuristic argument to show that one may use the sample variance of bootstrapped estimators to estimate the variance of the initial estimator.","The paper finds the limiting distributions of a bootstrapped sample and bootstrapped block maxima. It determines the asymptotic behavior of the bootstrapped Hill estimator and bootstrapped probability weighted moment estimators. For the latter, it provides a heuristic argument suggesting that the sample variance of bootstrapped estimators can estimate the variance of the initial estimator. The research focuses on estimators for the extreme value index and extreme quantiles within the peaks over threshold and block maxima approaches."
"Adaptive estimation of heavy right tails: the bootstrap methodology in action","https://www.researchgate.net/profile/Maria-Gomes-14/publication/343162126_Adaptive_Estimation_of_Heavy_Right_Tails_the_Bootstrap_Methodology_in_Action/links/5f198dec45851515ef421fcc/Adaptive-Estimation-of-Heavy-Right-Tails-the-Bootstrap-Methodology-in-Action.pdf","","","","MI Gomes
F Figueiredo
MM Neves","","https://www.researchgate.net/profile/Maria-Gomes-14/publication/343162126_Adaptive_Estimation_of_Heavy_Right_Tails_the_Bootstrap_Methodology_in_Action/links/5f198dec45851515ef421fcc/Adaptive-Estimation-of-Heavy-Right-Tails-the-Bootstrap-Methodology-in-Action.pdf","No","34","D6sGnBuguvwJ","","","","","","","","","Google Scholar","- **Relevance Score:** 95/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Uses EVT to model heavy right tails, bootstraps EVT estimators, targets tail‑index/VaR estimation, includes Monte‑Carlo study, offers limited method comparisons and theoretical insights.","","Not available in metadata."
"Estimating and Forecasting Conditional Risk Measures with Extreme Value Theory: A Review","https://scispace.com/papers/estimating-and-forecasting-conditional-risk-measures-with-fclds1xz9j","2018","Journal Article","","Marco Bee
Luca Trapin","10.3390/RISKS6020045","https://www.mdpi.com/2227-9091/6/2/45/pdf","Yes","","","","","","","","","","","SciSpace","- **Relevance Score:** 95/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Reviews EVT models for conditional tail risk in finance, covers VaR/ES estimation, mentions bootstrap approaches, compares methods, and discusses asymptotic theory.","One of the key components of financial risk management is risk measurement. This typically requires modeling, estimating and forecasting tail-related quantities of the asset returns’ conditional distribution. Recent advances in the financial econometrics literature have developed several models based on Extreme Value Theory (EVT) to carry out these tasks. The purpose of this paper is to review these methods.","This paper reviews models based on Extreme Value Theory (EVT) for financial risk management, specifically focusing on modeling, estimating, and forecasting tail-related quantities of asset returns' conditional distribution. The purpose is to review these methods, rather than presenting new empirical or theoretical results. It covers the estimation of conditional Value-at-Risk (VaR) and Expected Shortfall (ES) and discusses bootstrap approaches. The review also compares various methods and considers their asymptotic theory. The practical implication is to provide an overview of EVT-based techniques for risk measurement in finance."
"Estimation of tail-related risk measures for heteroscedastic financial time series: an extreme value approach","https://www.sciencedirect.com/science/article/pii/S0927539800000128","2000","Journal Article","Journal of Empirical Finance","Alexander J. McNeil
Rüdiger Frey","10.1016/S0927-5398(00)00012-8","http://faculty.washington.edu/ezivot/econ589/EVT_Mcneil_Frey_2000.pdf","No","2762","ppn-rvRpOAcJ","","","","","","","","","Google Scholar","- **Relevance Score:** 95/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Uses EVT as core framework to model heteroscedastic financial series tails; estimates VaR/ES; applies bootstrap for hypothesis testing; includes finance application; offers limited bootstrap‑EVT integration, modest comparisons, and some asymptotic/simulation insights.","","The paper uses Extreme Value Theory (EVT) as a core framework to model heteroscedastic financial series tails and estimates Value-at-Risk (VaR) and Expected Shortfall (ES). It applies a bootstrap test for hypothesis testing. The paper offers limited bootstrap-EVT integration, modest comparisons, and some asymptotic/simulation insights."
"The application of extreme value theory on computing value-at-risk of exchange rates","https://scispace.com/papers/the-application-of-extreme-value-theory-on-computing-value-1ihx4s4y45","2000","Journal Article","Journal of systems engineering","Zhan Yuan","","","Yes","","","","","","","","","","","SciSpace","- **Relevance Score:** 94/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Uses EVT to model exchange‑rate tails, applies a two‑step subsample bootstrap for VaR estimation, focuses on finance application; lacks comparative, theoretical, and simulation analyses.","As an integrated method to measure finance risks, value at risk(VaR) has been investigated widely in recent years. This paper introduces a new model to compute VaR - extreme value theory (EVT). It gives parametric estimations of the tail distribution by means of second order expansion. A percedure and program named “two step subsample bootstrap” was developed to find the start point of extreme and to estimate VaR. The computation result of JPY/USD foreign exchange rate presented at last proved that the EVT method has a good character in estimating VaR.","The paper introduces a new Extreme Value Theory (EVT) model for computing Value-at-Risk (VaR), which provides parametric estimations of the tail distribution using second-order expansion. A ""two step subsample bootstrap"" procedure and program were developed to identify the extreme start point and estimate VaR. The computation result for the JPY/USD foreign exchange rate demonstrated that the EVT method exhibits a good character in estimating VaR. This suggests a practical implication for finance risk measurement."
"Tail Empirical Processes: Limit Theorems and Bootstrap Techniques, with Applications to Risk Measures","https://scispace.com/papers/tail-empirical-processes-limit-theorems-and-bootstrap-1i981i2mkg","2018","Dissertation","","Hicham Loukrati","10.20381/RUOR-21861","https://scispace.com/pdf/tail-empirical-processes-limit-theorems-and-bootstrap-1i981i2mkg.pdf","Yes","","","","","","","","","","","SciSpace","- **Relevance Score:** 93/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Uses tail empirical processes to develop CTE and VaR estimators, provides asymptotic theory and non‑parametric bootstrap results, includes simulation studies, focuses on insurance risk, but lacks direct comparison with other methods.","Au cours des dernières années, des changements importants dans le domaine des assurances et des finances attirent de plus en plus l’attention sur la nécessité d’élaborer un cadre normalisé pour la mesure des risques. Récemment, il y a eu un intérêt croissant de la part des experts en assurance sur l’utilisation de l’espérance conditionnelle des pertes (CTE) parce qu’elle partage des propriétés considérées comme souhaitables et applicables dans diverses situations. En particulier, il répond aux exigences d’une mesure de risque “cohérente”, selon Artzner [2]. Cette thèse représente des contributions à l’inférence statistique en développant des outils, basés sur la convergence des intégrales fonctionnelles, pour l’estimation de la CTE qui présentent un intérêt considérable pour la science actuarielle. Tout d’abord, nous développons un outil permettant l’estimation de la moyenne conditionnelle E[X|X > x], ensuite nous construisons des estimateurs de la CTE, développons la théorie asymptotique nécessaire pour ces estimateurs, puis utilisons la théorie pour construire des intervalles de confiance. Pour la première fois, l’approche de bootstrap non paramétrique est explorée dans cette thèse en développant des nouveaux résultats applicables à la valeur à risque (VaR) et à la CTE. Des études de simulation illustrent la performance de la technique de bootstrap.","The paper presents contributions to statistical inference by developing tools for estimating Conditional Tail Expectation (CTE), based on the convergence of functional integrals. It constructs estimators for CTE, develops the necessary asymptotic theory, and uses this theory to build confidence intervals. For the first time, a non-parametric bootstrap approach is explored, yielding new results applicable to Value-at-Risk (VaR) and CTE. Simulation studies illustrate the performance of the bootstrap technique. The practical implication is the development of a standardized framework for risk measurement, particularly for actuarial science."
"Regression Estimator for the Tail Index","https://scispace.com/papers/regression-estimator-for-the-tail-index-3u64pegeia","2020","Journal Article","Journal of statistical theory and practice","László Németh
András Zempléni","10.1007/S42519-020-00114-7","https://scispace.com/pdf/regression-estimator-for-the-tail-index-3u64pegeia.pdf","Yes","","","","","","","","","","","SciSpace","- **Relevance Score:** 93/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Uses EVT to model tails and introduces a bootstrap‑based tail‑index estimator; compares against Hill, KS, and double‑bootstrap methods; includes extensive Monte‑Carlo simulations; provides limited asymptotic discussion; no specific application domain presented.","Estimating the tail index parameter is one of the primal objectives in extreme value theory For heavy-tailed distributions the Hill estimator is the most popular way to estimate this parameter Several recent publications’ aim was to improve the Hill estimator, using different methods, for example the bootstrap, or the Kolmogorov–Smirnov metric These methods are asymptotically consistent, but for tail index $$\xi >05$$ the estimations fail to approach the theoretical value for realistic sample sizes In this paper, we introduce new empirical methods, which combine the advantages of the Kolmogorov–Smirnov approach and the bootstrap We demonstrate that our estimators are able to estimate large tail index parameters well and might also be useful for relatively small sample sizes As an application, we consider the classic Danish fire data set and the most destructive natural disasters in Europe","The paper introduces new empirical methods that combine the Kolmogorov-Smirnov approach and the bootstrap for estimating the tail index. These estimators are demonstrated to be able to estimate large tail index parameters well and may also be useful for relatively small sample sizes, addressing a limitation where previous methods fail for tail index $\\xi > 0.5$ with realistic sample sizes. The methods are applied to the classic Danish fire data set and the most destructive natural disasters in Europe. The `tldr` further notes that the authors combine the advantages of the Kolmogorov-Smirnov approach and the bootstrap to estimate large tail index parameters well and might also be useful for relatively small sample sizes. The `relevance_summary` indicates the paper uses Extreme Value Theory (EVT) to model tails, introduces a bootstrap-based tail-index estimator, and includes extensive Monte-Carlo simulations, comparing it against Hill, KS, and double-bootstrap methods."
"Bootstrap methods in statistics of extremes","https://onlinelibrary.wiley.com/doi/abs/10.1002/9781118650318.ch6","2016","Book Chapter","","M. Ivette Gomes
Frederico Caeiro
Lígia Henriques-Rodrigues
B.G. Manjunath","10.1002/9781118650318.CH6","https://www.researchgate.net/profile/Maria-Gomes-14/publication/343193370_Bootstrap_methods_in_statistics_of_extremes/links/5f1b273c45851515ef4779e1/Bootstrap-methods-in-statistics-of-extremes.pdf","No","52","Ef70UeYV2tUJ","","","","","","","","","Google Scholar","- **Relevance Score:** 93/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Uses EVT framework and bootstrap resampling for extreme‑value parameter estimation; includes asymptotic theory and some simulations, but lacks explicit VaR/ES focus or domain application.","","Not available in metadata."
"Regression Estimator for the Tail Index","https://scispace.com/papers/regression-estimator-for-the-tail-index-3u64pegeia","2020","Journal Article","Journal of statistical theory and practice","László Németh
András Zempléni","10.1007/S42519-020-00114-7","https://scispace.com/pdf/regression-estimator-for-the-tail-index-3u64pegeia.pdf","Yes","","","","","","","","","","","SciSpace Full Text","- **Relevance Score:** 92/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Uses EVT to derive tail‑index estimator, applies bootstrap subsampling, targets tail‑risk estimation, compares to Hill/K‑S methods, includes simulations, but lacks specific domain and detailed proofs.","Estimating the tail index parameter is one of the primal objectives in extreme value theory For heavy-tailed distributions the Hill estimator is the most popular way to estimate this parameter Several recent publications’ aim was to improve the Hill estimator, using different methods, for example the bootstrap, or the Kolmogorov–Smirnov metric These methods are asymptotically consistent, but for tail index $$\xi >05$$ the estimations fail to approach the theoretical value for realistic sample sizes In this paper, we introduce new empirical methods, which combine the advantages of the Kolmogorov–Smirnov approach and the bootstrap We demonstrate that our estimators are able to estimate large tail index parameters well and might also be useful for relatively small sample sizes As an application, we consider the classic Danish fire data set and the most destructive natural disasters in Europe","The paper introduces new empirical methods combining the Kolmogorov–Smirnov approach and bootstrap, demonstrating their ability to estimate large tail index parameters well. These estimators might also be useful for relatively small sample sizes. The methods are shown to overcome the failure of previous estimations to approach theoretical values for tail index $$\xi >05$$ with realistic sample sizes. Applications include the classic Danish fire data set and the most destructive natural disasters in Europe."
"Resampling-Based Methodologies in Statistics of Extremes: Environmental and Financial Applications","https://scispace.com/papers/resampling-based-methodologies-in-statistics-of-extremes-242ee66dow","2015","Book Chapter","","M. Ivette Gomes
Lígia Henriques-Rodrigues
Fernanda Figueiredo","10.1007/978-3-319-16121-1_6","","No","","","","","","","","","","","SciSpace","- **Relevance Score:** 92/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Uses bootstrap to estimate extreme value index ξ with adaptive k selection; applies to environmental and financial data; evaluates estimator performance but lacks explicit VaR/ES focus, alternative method comparison, and simulation study.","Resampling computer intensive methodologies, like the jackknife and the bootstrap are important tools for a reliable semi-parametric estimation of parameters of extreme or even rare events. Among these parameters we mention the extreme value index, ξ, the primary parameter in statistics of extremes. Most of the semi-parametric estimators of this parameter show the same type of behaviour: nice asymptotic properties, but a high variance for small k, the number of upper order statistics used in the estimation, a high bias for large k, and the need for an adequate choice of k. After a brief reference to some estimators of the aforementioned parameter and their asymptotic properties we present an algorithm that deals with an adaptive reliable estimation of ξ. Applications of these methodologies to the analysis of environmental and financial data sets are undertaken.","The paper presents an algorithm for adaptive and reliable estimation of the extreme value index, ξ, which is the primary parameter in statistics of extremes. This algorithm addresses common issues with semi-parametric estimators, such as high variance for small 'k' and high bias for large 'k' (where 'k' is the number of upper order statistics). The methodologies are applied to the analysis of environmental and financial data sets. The algorithm aims to provide an adaptive and reliable estimation of ξ."
"Bootstrap and empirical likelihood methods in extremes","https://link.springer.com/article/10.1007/s10687-007-0049-8","2008","Journal Article","Extremes","Yongcheng Qi","10.1007/S10687-007-0049-8","https://www.d.umn.edu/~yqi/mydownload/08extremes.pdf","No","54","faF_GG5BAagJ","","","","","","","","","SciSpace","- **Relevance Score:** 91/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Uses EVT as core framework; applies bootstrap to Hill and moment estimators; estimates tail index and high quantiles (related to tail‑risk); provides asymptotic confidence intervals; includes limited simulation; lacks direct VaR/ES focus, alternative method comparison, or specific application domain.","One of the major interests in extreme-value statistics is to infer the tail properties of the distribution functions in the domain of attraction of an extreme-value distribution and to predict rare events. In recent years, much effort in developing new methodologies has been made by many researchers in this area so as to diminish the impact of the bias in the estimation and achieve some asymptotic optimality in inference problems such as estimating the optimal sample fractions and constructing confidence intervals of various quantities. In particular, bootstrap and empirical likelihood methods, which have been widely used in many areas of statistics, have drawn attention. This paper reviews some novel applications of the bootstrap and the empirical likelihood techniques in extreme-value statistics.","This paper reviews novel applications of bootstrap and empirical likelihood techniques in extreme-value statistics. The methodologies aim to diminish the impact of bias in estimation and achieve asymptotic optimality in inference problems. These applications include estimating optimal sample fractions and constructing confidence intervals for various quantities. The paper focuses on the use of these widely adopted statistical methods within the context of extreme-value statistics to infer tail properties and predict rare events."
"Bootstrap and empirical likelihood methods in extremes","https://scispace.com/papers/bootstrap-and-empirical-likelihood-methods-in-extremes-3d7kfr42a7","2008","Journal Article","Extremes","Yongcheng Qi","10.1007/S10687-007-0049-8","https://scispace.com/pdf/bootstrap-and-empirical-likelihood-methods-in-extremes-3d7kfr42a7.pdf","No","","","","","","","","","","","SciSpace Full Text","- **Relevance Score:** 90/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Uses EVT framework extensively; applies bootstrap to Hill and moment estimators; constructs confidence intervals for tail index and high quantiles, but does not target VaR/ES or specific applications; includes asymptotic results and simulations, lacking method comparisons.","One of the major interests in extreme-value statistics is to infer the tail properties of the distribution functions in the domain of attraction of an extreme-value distribution and to predict rare events. In recent years, much effort in developing new methodologies has been made by many researchers in this area so as to diminish the impact of the bias in the estimation and achieve some asymptotic optimality in inference problems such as estimating the optimal sample fractions and constructing confidence intervals of various quantities. In particular, bootstrap and empirical likelihood methods, which have been widely used in many areas of statistics, have drawn attention. This paper reviews some novel applications of the bootstrap and the empirical likelihood techniques in extreme-value statistics.","This paper reviews novel applications of bootstrap and empirical likelihood techniques in extreme-value statistics. The focus is on inference problems such as estimating optimal sample fractions and constructing confidence intervals for various quantities. These methods aim to diminish estimation bias and achieve asymptotic optimality. The paper highlights the use of these techniques in inferring tail properties of distribution functions and predicting rare events."
