"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Extreme Value Modeling and Risk Analysis : Methods and Applications","https://scispace.com/paper/extreme-value-modeling-and-risk-analysis-methods-and-4ibyxa5j81","2015","Reference Book","","Dipak K. Dey
Jun Yan","10.1201/B19721","","Univariate Extreme Value Analysis Dipak Dey, Dooti Roy, and Jun Yan Multivariate Extreme Value Analysis Dipak Dey, Yujing Jiang, and Jun Yan Univariate Extreme Value Mixture Modeling Carl Scarrott Threshold Selection in Extreme Value Analysis Frederico Caeiro and M. Ivette Gomes Threshold Modeling of Nonstationary Extremes Paul J. Northrop, Philip Jonathan, and David Randell Block-Maxima of Vines Matthias Killiches and Claudia Czado Time Series of Extremes Brian J. Reich and Benjamin A. Shaby Max-Autoregressive and Moving Maxima Models for Extremes Zhengjun Zhang, Liang Peng, and Timothy Idowu Spatial Extremes and Max-Stable Processes Mathieu Ribatet, Clement Dombry, and Marco Oesting Simulation of Max-Stable Processes Marco Oesting, Mathieu Ribatet, and Clement Dombry Conditional Simulation of Max-Stable Processes Clement Dombry, Marco Oesting, and Mathieu Ribatet Composite Likelihood for Extreme Values Huiyan Sang Bayesian Inference for Extreme Value Modeling Alec Stephenson Modeling Extremes Using Approximate Bayesian Computation Robert Erhardt and Scott A. Sisson Estimation of Extreme Conditional Quantiles Huixia Judy Wang and Deyuan Li Extreme Dependence Models Boris Beranger and Simone Padoan Nonparametric Estimation of Extremal Dependence Anna Kiriliouk, Johan Segers, and Michal Warchol An Overview of Nonparametric Tests of Extreme-Value Dependence and of Some Related Statistical Procedures Axel Bucher and Ivan Kojadinovic Extreme Risks of Financial Investments Ye Liu and Jonathan A. Tawn Interplay of Insurance and Financial Risks with Bivariate Regular Variation Qihe Tang and Zhongyi Yuan Weather and Climate Disasters Richard W. Katz The Analysis of Safety Data from Clinical Trials Ioannis Papastathopoulos and Harry Southworth Analysis of Bivariate Survival Data Based on Copulas with Log Generalized Extreme Value Marginals Dooti Roy, Vivekananda Roy, and Dipak Dey Change Point Analysis of Top Batting Average Sy Han Chiou, Sangwook Kang, and Jun Yan Computing Software Eric Gilleland","Univariate Extreme Value Analysis Dipak Dey, Dooti Roy, and Jun Yan multivariate extreme value analysis Dipak DEy, Yujing Jiang, andJun Yan Univariate Extreme value Mixture Modeling Carl Scarrott Threshold Selection in Extreme value analysis Frederico Caeiro and M. Ivette Gomes Threshold Modeling of Nonstationary Extremes Paul J. Reich and Benjamin A. Shaby Max-Autoregressive and Moving Maxima Models for Extremes Zhengjun Zhang, Liang Peng, and Timothy Idowu Spatial Extremes and Max"
"Extreme Value Theory: Value at Risk and Returns Dependence Around the World","https://scispace.com/paper/extreme-value-theory-value-at-risk-and-returns-dependence-c2bak8hs50","2003","Posted Content","Research Papers in Economics","Viviana Fernandez","","https://scispace.com/pdf/extreme-value-theory-value-at-risk-and-returns-dependence-c2bak8hs50.pdf","This paper presents two applications of Extreme Value Theory (EVT) to financial markets: computation of value at risk and assets returns dependence under extreme events (i.e. tail dependence). We use a sample comprised of the United States, Europe, Asia, and Latin America. Our main findings are the following. First, on average, EVT gives the most accurate estimates of value at risk. Second, tail dependence decreases when filtering out heteroscedasticity and serial correlation by multivariate GARCH models. Both findings are in agreement with previous research in this area for other financial markets.","In this article, the authors present two applications of Extreme Value Theory (EVT) to financial markets: computation of value at risk and assets returns dependence under extreme events (i.e. tail dependence)."
"Extreme value theory for finance: a survey","https://scispace.com/paper/extreme-value-theory-for-finance-a-survey-424rptuz7o","2010","","","Marco Rocco","","https://scispace.com/pdf/extreme-value-theory-for-finance-a-survey-424rptuz7o.pdf","Extreme value theory is concerned with the study of the asymptotical distribution of
extreme events, that is to say events which are rare in frequency and huge with respect
to the majority of observations. Statistical methods derived from this theory have been
increasingly employed in nance, especially in the context of risk measurement. The aim
of the present study is two-fold. The rst part delivers a critical review of the theoretical
underpinnings of extreme value theory. The second part provides a survey of some major
applications of extreme value theory to nance, namely its use to test between di erent
distributional assumptions for the data, Value-at-Risk and Expected Shortfall calculations,
asset allocation under safety- rst type constraints and the study of contagion and dependence
across markets under stress conditions.","Extreme value theory is concerned with the study of the asymptotical distribution of extreme events, that is to say events which are rare in frequency and huge with respect to the majority of observations as discussed by the authors."
"Bootstrap estimation methods of value at risk","https://scispace.com/paper/bootstrap-estimation-methods-of-value-at-risk-14ux33lqxp","2016","Journal Article","The Central European Review of Economics and Management","Dorota Anna Pekasiewicz","","https://ojs.wsb.wroclaw.pl/index.php/WSBRJ/article/download/218/255","Interval bootstrap methods can be used to estimate Value at Risk, defined as a quantile of fixed order of random variable being the value of losses from investments. These methods are applied when there is no information about the distribution class of the variable considered, which  is the advantage of bootstrap methods compared with parametric methods. Semiparametric estimation procedures are of particular importance. They can be used in the estimation of high-order quantiles. They guarantee the occurrence of large values in the generated bootstrap samples. The paper presents nonparametric and semiparametric bootstrap estimation methods and the results of simulation studies for higher-order quantiles of a heavy-tailed distribution. The application of the methods analysed provide confidence intervals with greater accuracy compared to the nonparametric classical method. The procedures under discussion are used in VaR estimation of daily returns of selected shares at Warsaw Stock Exchange.","In this paper, the authors present nonparametric and semiparametric bootstrap estimation methods and the results of simulation studies for higher-order quantiles of a heavy-tailed distribution."
"Extreme value theory and statistics for heavy tail data","https://scispace.com/paper/extreme-value-theory-and-statistics-for-heavy-tail-data-2e0mrj7iv3","2003","","","S. Caserta
Casper G. de Vries","","https://scispace.com/pdf/extreme-value-theory-and-statistics-for-heavy-tail-data-2e0mrj7iv3.pdf","textA scientific way of looking beyond the worst-case return is to employ statistical
extreme value methods Extreme Value Theory (EVT) shows that the probability on
very large losses is eventually governed by a simple function, regardless the specific
distribution that underlies the return process This limit result can be exploited to
construct semi-parametric portfolio Value at Risk (VaR) estimates around and beyond
the largest observed loss Such extreme VaR estimates can be useful inputs for
scenario analysis and stress testing The aim of this chapter is to introduce the reader
to extreme value theory and the statistics of extremes","In this article, a scientific way of looking beyond the worst-case return is to employ statistical extreme value methods Extreme Value Theory (EVT) shows that the probability on very large losses is eventually governed by a simple function, regardless the specific distribution that underlies the return process This limit result can be exploited to construct semi-parametric portfolio value at risk estimates around and beyond the largest observed loss."
"Peaks over Threshold Approach with a time-varying scale parameter and range-based volatility estimator for Value-at-Risk and Expected Shortfall estimation","https://scispace.com/paper/peaks-over-threshold-approach-with-a-time-varying-scale-2q9ykm5w6q0v","2025","Journal Article","Przegląd Statystyczny","Marcin Fałdziński","10.59139/ps.2024.01.2","","Exploiting daily high-low range has become increasingly popular among volatility models due to valuable information about volatility dynamics. It has been shown in the literature that range-based volatility estimators can improve volatility and covariance forecasts, and thus models that use high and low prices can outperform standard volatility models based on closing prices solely. This paper incorporates a range-based volatility estimator in an extreme value theory framework to provide better estimates of the tails of daily asset returns. We introduce the Peaks over Threshold model with a range-based volatility estimator depicting the volatility of extreme returns that can contribute to more accurate tail risk estimation. We evaluate the proposed model based on the Monte Carlo simulation and long-period sample of the empirical financial time series by forecasting the Value-at-Risk and Expected Shortfall. We provide evidence that the proposed model can lead to better risk measure forecasts, especially for high tail probabilities. ","This paper proposes a Peaks over Threshold model with a time-varying scale parameter and range-based volatility estimator to improve Value-at-Risk and Expected Shortfall estimation, outperforming standard models with more accurate tail risk forecasts, especially for high tail probabilities."
"Leveraging Extreme Value Theory to Assess Stock Market Risk","https://scispace.com/paper/leveraging-extreme-value-theory-to-assess-stock-market-risk-uh8jzjqcty","2023","Proceedings Article","","Nurul Hidyawati Hanafi
Noor Fadhilah Ahmad Radi
Roziah Mohd Janor
Nor Azura Md. Ghani","10.1109/icoco59262.2023.10398080","","The stock market is a high-risk business that involves a large amount of money, and bad market decision- making can lead to catastrophic losses. The series of stock markets occurs at a higher rate than expected, known as extreme events. Assessing the behaviour of extreme stock market data is challenging and requires accurate risk management strategies to account for the heavy-tailed characteristics of these extreme data. Hence, this study aims to explore and assess the risk in stock market data using the extreme value theory. Additionally, the extreme value theory will be used with Generalized Extreme Value and Generalized Pareto distributions to model the distribution of daily loss probability. At the end of the study, the Value at Risk and Expected Shortfall will be employed together with the extreme value knowledge to fully capture the extent of potential losses in extreme market conditions. This study will be illustrated using daily stock market observations, namely MAY 1155.KL and PB 1295.KL is one of the top two financial sector stocks by top market capitalization in Malaysia stock market exchange. The results show that the risk measure estimate increases for both stock market data as the quantile increase in the Generalized Extreme Value model. As the confidence level increase, the stock PB 1295.KL has a higher risk of market returns than MAY 1155.KL. It is also found that the Generalized Extreme Value model is the best in fitting and estimating the risk for the stock market in the finance sector in Malaysia with low mean square error and mean absolute deviation error values. This study is important as incorporating the extreme value theory with Value at Risk and Expected Shortfall allows for more accurate modelling of the tail behaviour of stock market returns. Extreme value theory focuses on occurrences that substantially influence portfolios, such as market collapses or unexpected downturns. Investors and institutions can make more informed decisions and apply appropriate risk management measures by tracking these tail risk events.","The extreme value theory is used to assess the risk in stock market data. The study finds that the risk measure estimate increases for both stock market data as the quantile increase in the Generalized Extreme Value model."
"Estimation of Tail-Related Value at Risk Measures: Range-Based Extreme Value Approach","https://scispace.com/paper/estimation-of-tail-related-value-at-risk-measures-range-dwv43m8f2z","2013","Posted Content","Social Science Research Network","Heng-Chih Chou
David K. Wang","","","This study proposes a new approach for estimating value at risk (VaR). This approach combines quasi-maximum-likelihood fitting of asymmetric conditional autoregressive range (ACARR) models to estimate the current volatility and classical extreme value theory (EVT) to estimate the tail of the innovation distribution of the ACARR model. The proposed approach reflects two well-known phenomena found in most financial time series: stochastic volatility and the fat-tailedness of conditional distributions. This approach presents two main advantages over the McNeil and Frey (2000) approach. First, the ACARR model in this approach is an asymmetric model that treats the upward and downward movements of the asset price asymmetrically, whereas the generalized auto-regressive conditional hetero-skedasticity (GARCH) model in the McNeil and Frey (2000) approach is a symmetric model that ignores the asymmetric structure of the asset price. Second, the proposed method uses classical EVT to estimate the tail of the distribution of the residuals to avoid the threshold issue in the modern EVT model. Since the McNeil and Frey (2000) approach uses modern EVT, it may estimate the tail of the innovation distribution poorly. Back testing of historical time series data shows that our approach gives better VaR estimates than the McNeil and Frey (2000) approach.","In this article, the authors proposed a new approach for estimating value at risk (VaR), which combines quasi-maximum-likelihood fitting of asymmetric conditional autoregressive range (ACARR) models to estimate the current volatility and classical extreme value theory (EVT) for estimating the tail of the innovation distribution of the ACARR model."
"Portfolio risk assessment using multivariate extreme value methods","https://scispace.com/paper/portfolio-risk-assessment-using-multivariate-extreme-value-3v3izrem4q","2014","Journal Article","Extremes","Sawsan Hilal
Ser-Huang Poon
Jonathan A. Tawn","10.1007/S10687-014-0194-9","","This paper presents a model for the joint distribution of a portfolio by inferring extreme movements in financial markets. The core of our proposal is a statistical model for the tail of the joint distribution that attempts to capture accurately the data generating process through an extremal modelling for the univariate margins and for the multivariate dependence structure. The model addresses several features of financial returns by encompassing methods from both econometrics and extreme value theory, and hence, taking into account the asymmetric behaviour of extreme negative and positive returns, and the heterogeneous temporal as well as cross-sectional lead-lag extremal dependencies among portfolio constituents. The model facilitates scenario generation for future returns through extrapolation beyond the empirical observations upon which portfolio risk assessment is based. We provide empirical evidence for the proposed model by an application to stock market returns for the G5 economies.","In this article, a model for the joint distribution of a portfolio by inferring extreme movements in financial markets is presented, taking into account the asymmetric behaviour of extreme negative and positive returns, and the heterogeneous temporal as well as cross-sectional lead-lag extremal dependencies among portfolio constituents."
"Extreme and Inference for Tail Gini Functionals With Applications in Tail Risk Measurement","https://scispace.com/paper/extreme-and-inference-for-tail-gini-functionals-with-41e8fzytxc","2021","Journal Article","Journal of the American Statistical Association","Yanxi Hou
Xing Wang","10.1080/01621459.2020.1730855","","Tail risk analysis focuses on the problem of risk measurement on the tail regions of financial variables. As one crucial task in tail risk analysis for risk management, the measurement of tail risk...","Tail risk analysis focuses on the problem of risk measurement on the tail regions of financial variables as mentioned in this paper, and as one crucial task in tail risk analysis for risk management, the measurement of tail risk..."
"Extreme M-quantiles as risk measures: From L1 to Lp optimization","https://scispace.com/paper/extreme-m-quantiles-as-risk-measures-from-l1-to-lp-3gif157260","2019","Journal Article","Bernoulli","Abdelaati Daouia
Stéphane Girard
Gilles Stupfler","10.3150/17-BEJ987","https://scispace.com/pdf/extreme-m-quantiles-as-risk-measures-from-l1-to-lp-3gif157260.pdf","The class of quantiles lies at the heart of extreme-value theory and is one of the basic tools in risk management. The alternative family of expectiles is based on squared rather than absolute error loss minimization. It has recently been receiving a lot of attention in actuarial science, econometrics and statistical finance. Both quantiles and expectiles can be embedded in a more general class of M-quantiles by means of Lp optimization. These generalized Lp-quantiles steer an advantageous middle course between ordinary quantiles and expectiles without sacrificing their virtues too much for 1 < p < 2. In this paper, we investigate their estimation from the perspective of extreme values in the class of heavy-tailed distributions. We construct estimators of the intermediate Lp-quantiles and establish their asymptotic normality in a dependence framework motivated by financial and actuarial applications, before extrapolating these estimates to the very far tails. We also investigate the potential of extreme Lp-quantiles as a tool for estimating the usual quantiles and expectiles themselves. We show the usefulness of extreme Lp-quantiles and elaborate the choice of p through applications to some simulated and financial real data.","In this paper, the authors investigate the potential of extreme Lp-quantiles as a tool for estimating the usual quantiles and expectiles themselves, and show the usefulness of such quantiles through applications to some simulated and financial real data."
"Parameter estimation for the generalized extreme value distribution: a
  method that combines bootstrapping and r largest order statistics","https://scispace.com/paper/parameter-estimation-for-the-generalized-extreme-value-yau5coih3go9","2024","Journal Article","","Juan L. P. Soto","10.48550/arxiv.2408.03738","https://scispace.compdf/parameter-estimation-for-the-generalized-extreme-value-yau5coih3go9.pdf","A critical problem in extreme value theory (EVT) is the estimation of parameters for the limit probability distributions. Block maxima (BM), an approach in EVT that seeks estimates of parameters of the generalized extreme value distribution (GEV), can be generalized to take into account not just the maximum realization from a given dataset, but the r largest order statistics for a given r. In this work we propose a parameter estimation method that combines the r largest order statistic (r-LOS) extension of BM with permutation bootstrapping: surrogate realizations are obtained by randomly reordering the original data set, and then r-LOS is applied to these shuffled measurements - the mean estimate computed from these surrogate realizations is the desired estimate. We used synthetic observations and real meteorological time series to verify the performance of our method; we found that the combination of r-LOS and bootstrapping resulted in estimates more accurate than when either approach was implemented separately. ","A novel parameter estimation method combines bootstrapping and r largest order statistics to improve accuracy in estimating generalized extreme value distribution parameters, outperforming individual approaches in synthetic and real-world meteorological data."
"Modeling Extreme Values","https://scispace.com/paper/modeling-extreme-values-9lm0pchpf6","2003","Book Chapter","","Eric Zivot
Jiahui Wang","10.1007/978-0-387-21763-5_5","","One of the goals of financial risk management is the accurate calculation of the magnitudes and probabilities of large potential losses due to extreme events such as stock market crashes, currency crises, trading scandals, or large bond defaults. In statistical terms, these magnitudes and probabilities are high quantiles and tail probabilities of the probability distribution of losses. The importance of risk management in finance cannot be overstated. The catastrophes of October 17, 1987, Long-Term Capital Management, Barings PLC, Metallgesellschaft, Orange County and Daiwa clearly illustrate the losses that can occur as the result of extreme market movements1. The objective of extreme value analysis in finance is to quantify the probabilistic behavior of unusually large losses and to develop tools for managing extreme risks.","One of the goals of financial risk management is the accurate calculation of the magnitudes and probabilities of large potential losses due to extreme events such as stock market crashes, currency crises, trading scandals, or large bond defaults as discussed by the authors."
"Estimation of value at risk by extreme value methods","https://scispace.com/paper/estimation-of-value-at-risk-by-extreme-value-methods-364b0opwnb","2000","Journal Article","Extremes","Sarah Lauridsen","10.1023/A:1009979331996","","Value at Risk (VaR) is defined as a low quantile in the distribution of financial profits and losses. It is the most commonly used measure of market risk in the financial industry. The methods currently used for estimation of VaR have various short comings as they are not aimed specifically at modeling the tails of the distribution of profits and losses; extreme value methods may prove valuable towards improving the current estimation methods. In this paper we give an overview of the current state of the art in applying extreme value methods to financial data and the problems encountered when doing so. We compare the performance of methods currently used for estimation of VaR to the performance of various extreme value methods and outline advantages and drawbacks of the different methods.","In this article, an overview of the current state of the art in applying extreme value methods to financial data and the problems encountered when doing so is given, and the performance of methods currently used for estimation of value at risk is compared to performance of various extreme value method and outline advantages and drawbacks of different methods."
"A Comparison of EVT and Standard VaR Estimations","https://scispace.com/paper/a-comparison-of-evt-and-standard-var-estimations-5bn4tpg9zg","2011","Journal Article","Social Science Research Network","Jaroslav Baran
Jiri Witzany","10.2139/SSRN.1768011","https://papers.ssrn.com/sol3/Delivery.cfm/SSRN_ID1775245_code1619600.pdf?abstractid=1768011","In this paper, Extreme value theory (EVT) is applied in estimating low quantiles of P/L distribution and the results are compared to common VaR methodologies. The fundamental theory behind EVT is built, and peaks-over-threshold method is used for modeling the tail of the distribution of losses with Generalized Pareto Distribution (GPD). The different VaR methods are then compared using backtesting procedures. Practical issues such as time varying volatility of returns, and multivariate time series (portfolio of financial instruments) are covered.","In this paper, extreme value theory (EVT) is applied in estimating low quantiles of P/L distribution and the results are compared to common VaR methodologies, and the fundamental theory behind EVT is built, and peaks-over-threshold method is used for modeling the tail of the distribution of losses with Generalized Pareto distribution."
"Using a bootstrap method to choose the sample fraction in tail index estimation","https://scispace.com/paper/using-a-bootstrap-method-to-choose-the-sample-fraction-in-1liqep7ub9","2000","Posted Content","","Jon Danielsson
L.F.M. deHaan
Liang Peng
C.G. deVries","","","textTail index estimation depends for its accuracy on a precise choice of the sample fraction, i.e. the number of extreme order statistics on which the estimation is based. A complete solution to the sample fraction selection is given by means of a two step subsample bootstrap method. This method adaptively determines the sample fraction that minimizes the asymptotic mean squared error. Unlike previous methods, prior knowledge of the second order parameter is not required. In addition, we are able to dispense with the need for a prior estimate of the tail index which already converges roughly at the optimal rate. The only arbitrary choice of parameters is the number of Monte Carlo replications.","In this article, a two-step subsample bootstrap method is used to determine the sample fraction that minimizes the asymptotic mean squared error of the tail index."
"Revisiting Resampling Methods in the Extremal Index Estimation: Improving Risk Assessment","https://scispace.com/paper/revisiting-resampling-methods-in-the-extremal-index-36t2oft7rt","2018","Book Chapter","","D. Prata Gomes
M. Manuela Neves","10.1007/978-3-319-76605-8_10","","Extreme value theory is an area of primordial importance for modelling extreme risks, allowing to estimate and predict beyond the range of data available. Among several parameters of interest, the extremal index is a crucial parameter in a dependent set-up, characterizing the degree of local dependence in the extremes of a stationary sequence. Its estimation has been addressed by several authors but some difficulties still remain. Resampling computer intensive methodologies have been recently considered in a reliable estimation of parameters of rare events. However classical bootstrap cannot be applied and block bootstrap procedures need to be considered. The block size for resampling strongly affects the estimates and needs to be properly chosen. Here, procedures for the choice of the block size for resampling are revisited and an improvement of the methods used in previous works for that choice is also considered. A simulation study will illustrate the performance of the aforementioned procedures. A real application is also presented.","Procedures for the choice of the block size for resampling are revisited and an improvement of the methods used in previous works for that choice is also considered, and a simulation study will illustrate the performance of the aforementioned procedures."
"Bootstrapping tail statistics: Tail quantile process, Hill estimator, and confidence intervals for highquantiles of heavy tailed distributions","https://scispace.com/paper/bootstrapping-tail-statistics-tail-quantile-process-hill-4dy3o7dg5a","2018","Posted Content","Research Papers in Economics","Svetlana Litvinova
Mervyn J. Silvapulle","","","In risk management areas such as reinsurance, the need often arises to construct a confidence interval for a quantile in the tail of the distribution. While different methods are available for this purpose, doubts have been raised about the validity of full-sample bootstrap. In this paper, we first obtain some general results on the validity of fullsample bootstrap for the tail quantile process. This opens the possibility of developing bootstrap methods based on tail statistics. Second, we develop a bootstrap method for constructing confidence intervals for high-quantiles of heavy-tailed distributions and show that it is consistent. In our simulation study, the bootstrap method for constructing confidence intervals for high quantiles performed overall better than the data tilting method, but none was uniformly the best; the data tilting method appears to be currently the preferred choice. Since the two methods are based on quite different approaches, we recommend that both methods be used side by side in applications.","In this article, the validity of full-sample bootstrap for the tail quantile process is investigated and a bootstrap method for constructing confidence intervals for high quantiles of heavy-tailed distributions is presented."
"Multivariate extreme value statistics for risk assessment","https://scispace.com/paper/multivariate-extreme-value-statistics-for-risk-assessment-1v2t62enyn","2016","Posted Content","Research Papers in Economics","Yi He","","","This dissertation consists of three essays about statistical estimation and inference methods concerning extremal events and tail risks. The first essay establishes a natural, semi-parametric estimation procedure for the multivariate half-space depth-based extreme quantile region in arbitrary dimensions. In contrast to the failure of fully non-parametric approaches due to the scarcity of extremal observations, the good finite-sample performance of our extreme estimator is clearly demonstrated in simulation studies. The second essay extends this method to various depth functions, and, furthermore, establishes an asymptotic approximation theory of what-we-called (directed) logarithmic distance between our estimated and true quantile region. Confidence sets that asymptotically cover the quantile region or its complement, or both simultaneously, with a pre-specified probability can be therefore constructed under weak regular variation conditions. The finite-sample coverage probabilities of our asymptotic confidence sets are evaluated in a simulation study for the half-space depth and the projection depth. We use the procedures in both chapters for risk management by applying them to stock market returns. The third essay develops a statistical inference theory of a recently proposed tail risk measure. For regulators who are interested in monitoring these what-we-called relative risks of individual banks, we provide a jackknife empirical likelihood inference procedure based on the smoothed nonparametric estimation and a Wilks type of result. A simulation study and real-life data analysis show that the proposed relative risk measure is useful in monitoring systemic risk.","In this paper, a semi-parametric estimation procedure for the multivariate half-space depth-based extreme quantile region in arbitrary dimensions is presented, where confidence sets that asymptotically cover the region or its complement simultaneously, with a pre-specified probability can be constructed under weak regular variation conditions."
"Extreme tail risk estimation with the generalized Pareto distribution under the peaks-over-threshold framework","https://scispace.com/paper/extreme-tail-risk-estimation-with-the-generalized-pareto-5f3b0dtili","2020","Journal Article","Communications in Statistics-theory and Methods","Xu Zhao
Weihu Cheng
Pengyue Zhang","10.1080/03610926.2018.1549253","","Modeling excesses over a high threshold and estimating extreme tail risk are two utmost studies in the extreme value literature. Traditional techniques are limited on handling these two challenges....","A novel approach which utilizes the generalized Pareto distribution in the peaks-over-threshold (POT) framework, and applies the proposed method to the Shanghai Stock Exchange data for comprehensively illustrating the details and providing guidance for future applications."
"Extreme Market Risk-An Extreme Value Theory Approach","https://scispace.com/paper/extreme-market-risk-an-extreme-value-theory-approach-ejk0w1jods","2011","","","David E. Allen
Abhay K. Singh
Robert Powell","","https://scispace.com/pdf/extreme-market-risk-an-extreme-value-theory-approach-ejk0w1jods.pdf","The phenomenon of the occurrence of rare yet extreme events, “Black Swans” in Taleb’s terminology, seems to be more apparent in financial markets around the globe. This means there is not only a need to design proper risk modelling techniques which can predict the probability of risky events in normal market conditions but also a requirement for tools which can assess the probabilities of rare financial events; like the recent Global Financial Crisis (2007-2008). An obvious candidate, when dealing with extreme financial events and the quantification of extreme market risk is Extreme Value Theory (EVT). This proves to be a natural statistical modelling technique of relevance. Extreme Value Theory provides well established statistical models for the computation of extreme risk measures like the Return Level, Value at Risk and Expected Shortfall. In this paper we apply Univariate Extreme Value Theory to model extreme market risk for the ASX-All Ordinaries (Australian) index and the S&P-500 (USA) Index. We demonstrate that EVT can be successfully applied to financial market return series for predicting static VaR, CVaR or Expected Shortfall (ES) and expected Return Level and also daily VaR using a GARCH(1,1) and EVT based dynamic approach.","In this paper, the authors apply Univariate Extreme Value Theory (UVET) to model extreme market risk for the ASX-All Ordinaries (Australian) index and the S&P-500 (USA) Index."
"Frontier estimation based on extreme risk measures","https://scispace.com/paper/frontier-estimation-based-on-extreme-risk-measures-lufjc8tm4z","2016","","","Jonathan El Methni
Laurent Gardes
Stéphane Girard","","","Value-at-risk, Conditional Tail Expectation, Conditional Tail Variance and Conditional Tail Moment are classical risk measures. In statistical terms,
the Value-at-risk is the upper a-quantile of the loss distribution where alpha in (0;1) is the confidence level. Here, we focus on the properties of these
risk measures for extreme losses (where alpha tends to zero and is thus no longer fixed). To assign probabilities to extreme losses we assume that the distribution satisfies a von-Mises condition which allows us to work in the general setting, whether the extreme-value index is positive, negative or zero i.e. for all domains of attraction. We also consider these risk measures in the presence of a covariate. The main goal is to propose estimators of the above risk measures for all domains of attraction, for extreme losses, and to include a covariate in the estimation. The estimation method thus combines nonparametric kernel methods with extreme-value statistics. The asymptotic distribution of our estimators is established and their finite sample behavior is illustrated on simulated data and also on a motivating application in the reliability of nuclear reactors.","In this paper, the authors focus on the properties of these risk measures for extreme losses (where alpha tends to zero and is thus no longer fixed) and propose estimators of the above risk measures in the presence of a covariate."
"Managing Extreme Risks in Tranquil and Volatile Markets Using Conditional Extreme Value Theory","https://scispace.com/paper/managing-extreme-risks-in-tranquil-and-volatile-markets-3e33y71017","2001","Posted Content","Research Papers in Economics","Hans Byström","","","Financial risk management typically deals with low probability events in the tails of asset price distributions. In order to capture the behavior of these tails, one should therefore rely on models that explicitly focus on the tails. Extreme value theory (EVT) based models do exactly that, and in this paper we apply both unconditional and conditional EVT models to the management of extreme market risks in stock markets. We find conditional EVT models to give particularly accurate Value-at-Risk measures, and a comparison with traditional (GARCH) approaches to calculate Value-at-Risk demonstrates EVT as being the superior approach both for standard and more extreme Value-at-Risk quantiles.","The authors applied both unconditional and conditional Extreme Value Theory (EVT) models to the management of extreme market risks in stock markets and found conditional EVT models to give particularly accurate Value-at-Risk measures."
"Extreme M-quantiles as risk measures","https://scispace.com/paper/extreme-m-quantiles-as-risk-measures-48ymuaxg95","2017","","","Stéphane Girard
Abdelaati Daouia
Gilles Stupfler","","","Quantiles are basic tools in extreme-value theory in general, and in actuarial and financial mathematics in particular. The alternative class of expectiles has recently been receiving a lot of attention in actuarial science, econometrics and statistical finance. Both of these notions can be embedded in a more general class of M-quantiles by means of $L_p$ optimization. These generalized $L_p$ quantiles can in some sense, for $p$ between 1 and 2, interpolate between ordinary quantiles and expectiles. We investigate here their estimation from the perspective of extreme values in the class of heavy tailed distributions. We construct estimators of intermediate and extreme $L_p$ quantiles and establish their asymptotic normality in a dependence framework motivated by financial and actuarial applications. We also investigate the potential of extreme $L_p$ quantiles as a tool for estimating the usual quantiles and expectiles themselves. We show the usefulness of extreme $L_p$ quantiles and elaborate the choice of $p$ through applications to some simulated and financial real data.","In this article, the authors investigate the potential of extreme quantiles as a tool for estimating the usual quantiles and expectiles themselves, and show the usefulness of extreme $L_p$ quantiles through applications to some simulated and financial real data."
"Actuarial modelling of extremal events using transformed generalized extreme value distributions and generalized pareto distributions","https://scispace.com/paper/actuarial-modelling-of-extremal-events-using-transformed-16vfbnpvvr","2003","","","Zhongxian Han","","","In 1928, Extreme Value Theory (EVT) originated in work of Fisher and Tippett describing the behavior of maximum of independent and identically distributed random variables. Various applications have been implemented successfully in many fields such as: actuarial science, hydrology, climatology, engineering, and economics and finance. This paper begins with introducing examples that extreme value theory comes to encounter. Then classical results from EVT are reviewed and the current research approaches are introduced. In particular, statistical methods are emphasized in detail for the modeling of extremal events. A case study of hurricane damages over the last century is presented using the “excess over threshold” (EOT) method. In most actual cases, the range of the data collected is finite with an upper bound while the fitted Generalized Extreme Value (GEV) and Generalized Pareto (GPD) distributions have infinite tails. Traditionally this is treated as trivial based on the assumption that the upper bound is so large that no significant result is affected when it is replaced by infinity. However, in certain circumstances, the models can be improved by implementing more specific techniques. Different transforms are introduced to rescale the GEV and GPD distributions so that they have finite supports.","In this article, a case study of hurricane damages over the last century is presented using the ""excess over threshold"" (EOT) method, where different transforms are introduced to rescale the GEV and GPD distributions so that they have finite supports."
